City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Cherskiy,RU,2020-11-26 17:43:02,68.75,161.3,25.34,94,100,20.67
70,Gobardanga,IN,2020-11-26 17:43:02,22.87,88.76,71.6,78,75,5.12
71,Elat,IL,2020-11-26 17:43:03,29.56,34.95,69.8,40,40,13.87
72,Barra Do Garcas,BR,2020-11-26 17:38:13,-15.89,-52.26,95.0,63,40,10.29
73,Bredasdorp,ZA,2020-11-26 17:43:04,-34.53,20.04,62.6,59,39,11.41
74,Kalmunai,LK,2020-11-26 17:43:05,7.42,81.82,79.52,83,11,0.78
75,Thompson,CA,2020-11-26 17:43:05,55.74,-97.86,15.8,78,75,13.87
76,Taksimo,RU,2020-11-26 17:43:05,56.34,114.88,-2.67,83,2,2.91
77,Ribeira Grande,PT,2020-11-26 17:43:06,38.52,-28.7,62.6,67,75,9.17
78,Jasper,US,2020-11-26 17:43:07,37.2,-94.35,57.0,50,1,5.82
79,Lebu,CL,2020-11-26 17:43:07,-37.62,-73.65,57.33,59,0,20.83
80,Tuktoyaktuk,CA,2020-11-26 17:43:07,69.45,-133.04,-4.0,83,20,11.41
81,Tigil,RU,2020-11-26 17:43:08,57.8,158.67,17.69,97,100,7.72
82,Lae,PG,2020-11-26 17:43:09,-6.72,146.98,75.36,81,92,6.08
83,Puerto Montt,CL,2020-11-26 17:41:00,-41.47,-72.94,57.2,50,75,9.17
84,Freeport,US,2020-11-26 17:42:18,40.66,-73.58,64.99,87,90,16.11
85,Lompoc,US,2020-11-26 17:43:10,34.64,-120.46,55.99,50,1,9.19
86,Portland,US,2020-11-26 17:40:52,45.52,-122.68,46.99,87,90,6.93
87,Yulara,AU,2020-11-26 17:43:10,-25.24,130.99,80.6,32,22,3.36
88,Rosetta,EG,2020-11-26 17:43:11,31.4,30.42,65.57,57,33,4.52
89,Sao Miguel Do Araguaia,BR,2020-11-26 17:43:11,-13.28,-50.16,91.13,39,16,5.77
90,Nouadhibou,MR,2020-11-26 17:41:27,20.93,-17.03,73.4,56,100,20.8
91,Boda,CF,2020-11-26 17:43:12,4.32,17.47,80.56,45,20,3.38
